input,output
0,0.109761412
1,0.355476061
0,0.237857102
0,0.130952365
1,0.367880945
0,0.244421425
1,0.434306903
0,0.27957269
0,0.152270192
0,0.078631866
0,0.039815287
1,0.320007514
0,0.220023731
1,0.42201586
1,0.573408729
1,0.659184524
0,0.404088294
0,0.216943353
0,0.111451518
1,0.356321727
0,0.238280057
0,0.131163867
0,0.067986701
0,0.034474304
1,0.317333343
1,0.51868591
1,0.631346802
1,0.690074171
1,0.719917239
1,0.73493465
1,0.742462531
1,0.746230307
0,0.448114962
0,0.239057443
0,0.122528714
0,0.061864355
1,0.331052177
0,0.225550089
1,0.424779844
1,0.574790882
1,0.659875633
0,0.404433855
1,0.517116135
0,0.321537909
1,0.473364923
0,0.299201655
1,0.462104666
1,0.593553101
0,0.369276704
0,0.199138383
